plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,140,90,70,60,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,300,190,150,130,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,500,310,250,220,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,600,380,300,260,
plunder_extra_large,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,700,440,350,300,
plunder_huge,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,800,500,400,340,
plunder_extra_huge,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1000,630,500,430,
plunder_medium_1x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_1X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,400,250,200,180,
plunder_medium_2x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_2X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,800,500,400,350,
plunder_medium_3x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_3X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1200,750,600,530,
plunder_medium_4x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_4X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1600,1000,800,700,
xp_small,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,500,500,500,500,
xp_medium,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,1250,1250,1250,1250,
xp_large,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,2000,2000,2000,2000,
xp_extra_large,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,2250,2250,2250,2250,
xp_huge,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,2500,2500,2500,2500,
xp_medium_1x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_1X,,,br_reward_mission_xp,250,250,250,250,
xp_medium_2x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_2X,,,br_reward_mission_xp,300,300,300,300,
